subject,unit_number,unit_name,topic_id,topic_name,question_count,frequency_score,recency_score,final_score,label
Operating Systems,1,Introduction to Operating Systems,142,Operating System Introduction,20,0.0995,0.0889,0.0963,High
Operating Systems,1,Introduction to Operating Systems,147,Parallel Systems,13,0.0647,0.062,0.0639,High
Operating Systems,1,Introduction to Operating Systems,150,System Components,12,0.0597,0.0662,0.0616,High
Operating Systems,2,CPU Scheduling and Deadlocks,156,Scheduling Criteria,11,0.0547,0.06,0.0563,High
Operating Systems,1,Introduction to Operating Systems,155,Threads,10,0.0498,0.0434,0.0479,High
Operating Systems,5,File Systems and Disk Management,185,File Allocation Methods,9,0.0448,0.0424,0.0441,High
Operating Systems,4,Memory Management,176,Logical Versus Physical Address Space,8,0.0398,0.0527,0.0437,High
Operating Systems,3,Process Synchronization and IPC,167,Semaphores,8,0.0398,0.0414,0.0403,High
Operating Systems,4,Memory Management,179,Memory Management Unit (MMU),7,0.0348,0.0424,0.0371,Medium
Operating Systems,5,File Systems and Disk Management,183,File Protection,7,0.0348,0.031,0.0337,Medium
Operating Systems,5,File Systems and Disk Management,188,Disk Scheduling Algorithms FCFS SSTF SCAN C-SCAN,7,0.0348,0.0279,0.0328,Medium
Operating Systems,1,Introduction to Operating Systems,145,Time-shared Systems,6,0.0299,0.0372,0.0321,Medium
Operating Systems,1,Introduction to Operating Systems,153,Operations on Processes,7,0.0348,0.0259,0.0321,Medium
Operating Systems,1,Introduction to Operating Systems,143,Simple Batch Systems,6,0.0299,0.0331,0.0308,Medium
Operating Systems,5,File Systems and Disk Management,181,File System Interface and Access Methods,6,0.0299,0.0238,0.028,Medium
Operating Systems,2,CPU Scheduling and Deadlocks,160,Deadlock Characterization,5,0.0249,0.0176,0.0227,Medium
Operating Systems,5,File Systems and Disk Management,187,System Calls for File I/O Operations,4,0.0199,0.0217,0.0204,Medium
Operating Systems,1,Introduction to Operating Systems,149,Real-Time Systems,4,0.0199,0.0207,0.0201,Medium
Operating Systems,5,File Systems and Disk Management,182,Directory Structure,4,0.0199,0.0176,0.0192,Medium
Operating Systems,2,CPU Scheduling and Deadlocks,162,Deadlock Prevention,4,0.0199,0.0165,0.0189,Low
Operating Systems,1,Introduction to Operating Systems,152,Process Concepts and Scheduling,3,0.0149,0.0228,0.0173,Low
Operating Systems,1,Introduction to Operating Systems,146,Personal Computer Systems,3,0.0149,0.0165,0.0154,Low
Operating Systems,5,File Systems and Disk Management,184,File System Structure,3,0.0149,0.0155,0.0151,Low
Operating Systems,1,Introduction to Operating Systems,148,Distributed Systems,3,0.0149,0.0145,0.0148,Low
Operating Systems,2,CPU Scheduling and Deadlocks,159,Deadlocks System Model,3,0.0149,0.0145,0.0148,Low
Operating Systems,4,Memory Management,178,Virtual Address Space,3,0.0149,0.0134,0.0145,Low
Operating Systems,4,Memory Management,180,Relocation Register,3,0.0149,0.0134,0.0145,Low
Operating Systems,3,Process Synchronization and IPC,165,Critical Section Problem,3,0.0149,0.0062,0.0123,Low
Operating Systems,1,Introduction to Operating Systems,151,Operating System Services,2,0.01,0.0176,0.0122,Low
Operating Systems,2,CPU Scheduling and Deadlocks,161,Methods for Handling Deadlocks,3,0.0149,0.0052,0.012,Low
Operating Systems,3,Process Synchronization and IPC,171,IPC Between Processes on a Single System,2,0.01,0.0155,0.0116,Low
Operating Systems,3,Process Synchronization and IPC,170,Monitors,2,0.01,0.0145,0.0113,Low
Operating Systems,2,CPU Scheduling and Deadlocks,157,Scheduling Algorithms,2,0.01,0.0062,0.0088,Low
Operating Systems,2,CPU Scheduling and Deadlocks,164,Deadlock Detection and Recovery,1,0.005,0.0093,0.0063,Low
Operating Systems,3,Process Synchronization and IPC,175,Shared Memory,1,0.005,0.0093,0.0063,Low
Operating Systems,1,Introduction to Operating Systems,154,Cooperating Processes,1,0.005,0.0083,0.006,Low
Operating Systems,2,CPU Scheduling and Deadlocks,158,Multiple-Processor Scheduling,1,0.005,0.0072,0.0057,Low
Operating Systems,3,Process Synchronization and IPC,174,Message Queues,1,0.005,0.0072,0.0057,Low
Operating Systems,1,Introduction to Operating Systems,144,Multi-programmed Systems,1,0.005,0.0052,0.005,Low
Operating Systems,3,Process Synchronization and IPC,168,Classical Problems of Synchronization,1,0.005,0.0052,0.005,Low
Operating Systems,3,Process Synchronization and IPC,169,Critical Regions,1,0.005,0.0,0.0035,Low
Operating Systems,2,CPU Scheduling and Deadlocks,163,Deadlock Avoidance,0,0.0,0.0,0.0,Low
Operating Systems,3,Process Synchronization and IPC,166,Synchronization Hardware,0,0.0,0.0,0.0,Low
Operating Systems,3,Process Synchronization and IPC,172,IPC Between Processes on Different Systems,0,0.0,0.0,0.0,Low
Operating Systems,3,Process Synchronization and IPC,173,Pipes and FIFOs,0,0.0,0.0,0.0,Low
Operating Systems,4,Memory Management,177,Address Binding at Compile Time and Load Time,0,0.0,0.0,0.0,Low
Operating Systems,5,File Systems and Disk Management,186,Kernel Support for Files,0,0.0,0.0,0.0,Low
Computer Networks,4,Internetworking and Transport Layer,236,Elements of Transport Protocol,14,0.0749,0.0956,0.0811,High
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",195,Physical Layer Guided Transmission Media,11,0.0588,0.0627,0.06,High
Computer Networks,3,Network Layer and Routing,222,Congestion Control Algorithms,10,0.0535,0.051,0.0527,High
Computer Networks,5,Internet Transport Protocols and Application Layer,259,DNS,8,0.0428,0.0436,0.043,High
Computer Networks,4,Internetworking and Transport Layer,235,Transport Layer Services to Upper Layers,7,0.0374,0.0436,0.0393,High
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",197,Data Link Layer Design Issues,7,0.0374,0.0372,0.0374,High
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",194,Comparison of OSI and TCP/IP Reference Model,7,0.0374,0.034,0.0364,High
Computer Networks,5,Internet Transport Protocols and Application Layer,257,Electronic Mail,6,0.0321,0.0425,0.0352,High
Computer Networks,5,Internet Transport Protocols and Application Layer,243,Introduction to TCP,6,0.0321,0.0393,0.0343,High
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",196,Physical Layer Wireless Transmission Media,5,0.0267,0.0351,0.0292,High
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",200,Sliding Window Protocol,5,0.0267,0.0351,0.0292,High
Computer Networks,3,Network Layer and Routing,219,Distance Vector Routing,5,0.0267,0.0276,0.027,Medium
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",198,CRC Codes,5,0.0267,0.0255,0.0264,Medium
Computer Networks,3,Network Layer and Routing,212,Network Layer Design Issues,5,0.0267,0.0234,0.0257,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,203,CSMA,5,0.0267,0.0202,0.0248,Medium
Computer Networks,4,Internetworking and Transport Layer,231,ICMP,4,0.0214,0.0287,0.0236,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,202,ALOHA,4,0.0214,0.0266,0.0229,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,255,HTTP,4,0.0214,0.0255,0.0226,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,241,UDP and RPC,4,0.0214,0.0244,0.0223,Medium
Computer Networks,3,Network Layer and Routing,215,Routing Algorithms,4,0.0214,0.017,0.0201,Medium
Computer Networks,3,Network Layer and Routing,221,Hierarchical Routing,4,0.0214,0.0128,0.0188,Medium
Computer Networks,3,Network Layer and Routing,217,Shortest Path Routing,3,0.016,0.017,0.0163,Medium
Computer Networks,1,"Overview of Internet, Physical Layer and Data Link Layer",189,Overview of the Internet,3,0.016,0.0149,0.0157,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,207,Data Link Layer Switching,2,0.0107,0.017,0.0126,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,252,Application Layer Introduction,2,0.0107,0.0159,0.0123,Medium
Computer Networks,4,Internetworking and Transport Layer,232,ARP,2,0.0107,0.0149,0.0119,Medium
Computer Networks,2,Multiple Access Protocols and Data Link Layer Switching,211,"Repeaters, Hubs, Bridges, Switches, Routers and Gateways",2,0.0107,0.0117,0.011,Medium
Computer Networks,5,Internet Transport Protocols and Application Layer,246,TCP Connection Establishment,2,0.0107,0.0106,0.0107,Medium
Computer Networks,4,Internetworking and Transport Layer,238,Connection Establishment,2,0.0107,0.0096,0.0104,Medium
Computer Networks,3,Network Layer and Routing,218,Flooding,2,0.0107,0.0085,0.01,Low
